 z,  dB_r_1/dx,  dA_r_1/dy, B_r_2 
 -1.000000, 0.020231, 0.020231, 0.001603 
 -0.995000, 0.019929, 0.019929, 0.001848 
 -0.990000, 0.019522, 0.019522, 0.002112 
 -0.985000, 0.019003, 0.019003, 0.002396 
 -0.980000, 0.018367, 0.018367, 0.002700 
 -0.975000, 0.017611, 0.017611, 0.003027 
 -0.970000, 0.016730, 0.016730, 0.003375 
 -0.965000, 0.015718, 0.015718, 0.003747 
 -0.960000, 0.014573, 0.014573, 0.004142 
 -0.955000, 0.013290, 0.013290, 0.004561 
 -0.950000, 0.011865, 0.011865, 0.005005 
 -0.945000, 0.010296, 0.010296, 0.005474 
 -0.940000, 0.008578, 0.008578, 0.005970 
 -0.935000, 0.006709, 0.006709, 0.006492 
 -0.930000, 0.004687, 0.004687, 0.007042 
 -0.925000, 0.002509, 0.002509, 0.007619 
 -0.920000, 0.000173, 0.000173, 0.008225 
 -0.915000, -0.002322, -0.002322, 0.008859 
 -0.910000, -0.004979, -0.004979, 0.009523 
 -0.905000, -0.007799, -0.007799, 0.010216 
 -0.900000, -0.010782, -0.010782, 0.010940 
 -0.895000, -0.013930, -0.013930, 0.011694 
 -0.890000, -0.017242, -0.017242, 0.012479 
 -0.885000, -0.020720, -0.020720, 0.013296 
 -0.880000, -0.024363, -0.024363, 0.014145 
 -0.875000, -0.028170, -0.028170, 0.015027 
 -0.870000, -0.032143, -0.032143, 0.015941 
 -0.865000, -0.036280, -0.036280, 0.016888 
 -0.860000, -0.040580, -0.040580, 0.017869 
 -0.855000, -0.045043, -0.045043, 0.018884 
 -0.850000, -0.049667, -0.049667, 0.019933 
 -0.845000, -0.054452, -0.054452, 0.021017 
 -0.840000, -0.059396, -0.059396, 0.022136 
 -0.835000, -0.064497, -0.064497, 0.023291 
 -0.830000, -0.069754, -0.069754, 0.024481 
 -0.825000, -0.075167, -0.075167, 0.025709 
 -0.820000, -0.080732, -0.080732, 0.026972 
 -0.815000, -0.086448, -0.086448, 0.028274 
 -0.810000, -0.092313, -0.092313, 0.029613 
 -0.805000, -0.098326, -0.098326, 0.030990 
 -0.800000, -0.104485, -0.104485, 0.032406 
 -0.795000, -0.110788, -0.110788, 0.033862 
 -0.790000, -0.117233, -0.117233, 0.035357 
 -0.785000, -0.123818, -0.123818, 0.036894 
 -0.780000, -0.130541, -0.130541, 0.038471 
 -0.775000, -0.137401, -0.137401, 0.040091 
 -0.770000, -0.144396, -0.144396, 0.041753 
 -0.765000, -0.151523, -0.151523, 0.043459 
 -0.760000, -0.158782, -0.158782, 0.045209 
 -0.755000, -0.166169, -0.166169, 0.047004 
 -0.750000, -0.173684, -0.173684, 0.048846 
 -0.745000, -0.181325, -0.181325, 0.050734 
 -0.740000, -0.189090, -0.189090, 0.052671 
 -0.735000, -0.196977, -0.196977, 0.054658 
 -0.730000, -0.204984, -0.204984, 0.056695 
 -0.725000, -0.213109, -0.213109, 0.058783 
 -0.720000, -0.221352, -0.221352, 0.060925 
 -0.715000, -0.229708, -0.229708, 0.063121 
 -0.710000, -0.238177, -0.238177, 0.065373 
 -0.705000, -0.246757, -0.246757, 0.067682 
 -0.700000, -0.255444, -0.255444, 0.070051 
 -0.695000, -0.264237, -0.264237, 0.072480 
 -0.690000, -0.273132, -0.273132, 0.074972 
 -0.685000, -0.282127, -0.282127, 0.077529 
 -0.680000, -0.291219, -0.291219, 0.080152 
 -0.675000, -0.300403, -0.300403, 0.082843 
 -0.670000, -0.309675, -0.309675, 0.085605 
 -0.665000, -0.319031, -0.319031, 0.088441 
 -0.660000, -0.328466, -0.328466, 0.091351 
 -0.655000, -0.337974, -0.337974, 0.094340 
 -0.650000, -0.347549, -0.347549, 0.097409 
 -0.645000, -0.357184, -0.357184, 0.100562 
