#RUNGE KUTTA   S1,S2 =  0.7453590000000000,   2.345359000000000
#        HMIN,H,HMAX =  0.1000000000000000E-02,  0.2000000000000000,   1.400000000000000
#             EPS,BS =  0.1000000000000000E-09,  0.2000000000000000E-08
# STEP    S                 DS
     0  0.7453590000E+00  0.20000E+00
     2  0.8120256667E+00  0.66667E-01
     3  0.8679743203E+00  0.55949E-01
     4  0.9288524266E+00  0.60878E-01
     5  0.1003293028E+01  0.74441E-01
     6  0.1090220264E+01  0.86927E-01
     7  0.1194547123E+01  0.10433E+00
     8  0.1325323541E+01  0.13078E+00
     9  0.1467604191E+01  0.14228E+00
    10  0.1604987499E+01  0.13738E+00
    11  0.1751279728E+01  0.14629E+00
    12  0.1907045913E+01  0.15577E+00
    13  0.2086790947E+01  0.17975E+00
    14  0.2305264653E+01  0.21847E+00
    15  0.2345359000E+01  0.40094E-01
#ERROR ESTIMATE  0.9469701375572278E-09
