      z,       a_n0_Re,       a_n0_Im
             -1   -1.26964e-19   -4.67443e-35 
         -0.995   -1.08784e-19     4.0755e-34 
          -0.99   -8.99393e-20    1.38588e-34 
         -0.985   -7.04208e-20    3.94145e-34 
          -0.98    -5.0216e-20   -2.36396e-34 
         -0.975   -2.93122e-20   -1.68168e-34 
          -0.97   -7.69544e-21   -5.59747e-34 
         -0.965    1.46489e-20    6.98227e-35 
          -0.96    3.77363e-20   -4.77314e-34 
         -0.955     6.1583e-20   -5.99359e-34 
          -0.95    8.62058e-20   -2.40938e-34 
         -0.945    1.11622e-19    5.14334e-34 
          -0.94     1.3785e-19   -5.70058e-34 
         -0.935    1.64907e-19    3.98584e-34 
          -0.93    1.92812e-19   -3.20137e-34 
         -0.925    2.21585e-19   -3.75567e-34 
          -0.92    2.51245e-19    7.21947e-34 
         -0.915    2.81811e-19    3.63067e-34 
          -0.91    3.13302e-19    1.22686e-34 
         -0.905     3.4574e-19   -3.95507e-34 
           -0.9    3.79144e-19   -5.27109e-34 
         -0.895    4.13535e-19    1.20727e-34 
          -0.89    4.48933e-19   -6.83781e-34 
         -0.885    4.85362e-19    3.24683e-34 
          -0.88    5.22841e-19   -1.89658e-35 
         -0.875    5.61395e-19   -1.84788e-34 
          -0.87    6.01046e-19     1.6253e-34 
         -0.865    6.41819e-19    5.21952e-34 
          -0.86     6.8374e-19   -1.93731e-34 
         -0.855    7.26836e-19    5.50933e-34 
          -0.85    7.71136e-19    3.58615e-34 
         -0.845    8.16668e-19   -2.21508e-34 
          -0.84    8.63467e-19   -4.96066e-34 
         -0.835    9.11565e-19    5.11596e-34 
          -0.83       9.61e-19   -3.82551e-34 
         -0.825    1.01181e-18    4.40824e-34 
          -0.82    1.06404e-18   -2.87392e-35 
         -0.815    1.11773e-18   -7.73411e-34 
          -0.81    1.17293e-18    3.42552e-34 
         -0.805     1.2297e-18   -6.30077e-34 
           -0.8    1.28808e-18   -2.00042e-34 
         -0.795    1.34814e-18    4.68228e-34 
          -0.79    1.40994e-18    8.61456e-36 
         -0.785    1.47355e-18   -2.99208e-34 
          -0.78    1.53905e-18   -3.90309e-34 
         -0.775    1.60651e-18   -6.31437e-35 
          -0.77    1.67601e-18    2.41028e-34 
         -0.765    1.74764e-18    4.72939e-34 
          -0.76    1.82151e-18    3.25955e-34 
         -0.755     1.8977e-18    3.69666e-34 
          -0.75    1.97632e-18    3.91225e-34 
         -0.745    2.05748e-18   -8.73686e-34 
          -0.74    2.14131e-18      4.972e-34 
         -0.735    2.22791e-18   -4.39614e-34 
          -0.73    2.31742e-18   -5.67247e-34 
         -0.725    2.40996e-18    1.56153e-35 
          -0.72    2.50568e-18   -7.01676e-35 
         -0.715     2.6047e-18   -2.63223e-34 
          -0.71    2.70718e-18   -2.04022e-34 
         -0.705    2.81324e-18   -8.87689e-34 
           -0.7    2.92304e-18      5.254e-34 
         -0.695    3.03673e-18    8.46789e-35 
          -0.69    3.15444e-18    2.56305e-34 
         -0.685    3.27632e-18   -6.70844e-34 
          -0.68    3.40251e-18    2.91933e-34 
         -0.675    3.53316e-18   -3.69817e-34 
          -0.67    3.66838e-18   -4.56432e-34 
         -0.665    3.80833e-18    2.57959e-34 
          -0.66    3.95311e-18    6.18963e-34 
         -0.655    4.10285e-18    4.32073e-34 
          -0.65    4.25766e-18   -1.93181e-34 
         -0.645    4.41763e-18    3.53796e-34 
          -0.64    4.58286e-18    2.36452e-34 
         -0.635    4.75342e-18   -7.68871e-34 
          -0.63    4.92939e-18     6.8718e-34 
         -0.625    5.11082e-18     7.2972e-34 
          -0.62    5.29774e-18    3.82215e-34 
         -0.615     5.4902e-18   -3.50309e-34 
          -0.61    5.68819e-18    4.44683e-34 
         -0.605    5.89173e-18   -3.31759e-34 
           -0.6    6.10079e-18    6.70164e-34 
         -0.595    6.31535e-18    8.11884e-34 
          -0.59    6.53536e-18   -2.67206e-34 
         -0.585    6.76077e-18   -4.00437e-34 
          -0.58     6.9915e-18     1.0567e-34 
         -0.575    7.22748e-18   -1.08567e-34 
          -0.57    7.46862e-18    6.43158e-35 
         -0.565    7.71482e-18    2.42944e-34 
          -0.56    7.96598e-18   -2.85882e-34 
         -0.555      8.222e-18    2.48265e-34 
          -0.55    8.48279e-18    3.23814e-34 
         -0.545    8.74824e-18    5.52546e-34 
          -0.54    9.01826e-18   -4.81627e-34 
         -0.535    9.29276e-18    2.01285e-34 
          -0.53    9.57169e-18    9.30511e-35 
         -0.525    9.85498e-18      7.122e-34 
          -0.52    1.01426e-17    1.34419e-34 
         -0.515    1.04345e-17     2.0886e-34 
          -0.51    1.07308e-17    7.72513e-35 
         -0.505    1.10313e-17    3.99877e-34 
           -0.5    1.13363e-17    1.40107e-34 
         -0.495    1.16457e-17   -7.34491e-34 
          -0.49    1.19598e-17   -4.34663e-35 
         -0.485    1.22785e-17   -1.53047e-34 
          -0.48    1.26021e-17   -1.88574e-34 
         -0.475    1.29308e-17    5.16506e-34 
          -0.47    1.32647e-17   -1.58596e-34 
         -0.465    1.36042e-17    9.60341e-35 
          -0.46    1.39495e-17   -4.90192e-34 
         -0.455     1.4301e-17   -1.98548e-34 
          -0.45    1.46588e-17   -5.53563e-35 
         -0.445    1.50234e-17   -1.02542e-34 
          -0.44    1.53952e-17     6.6274e-34 
         -0.435    1.57745e-17   -1.00839e-34 
          -0.43    1.61617e-17   -1.80825e-34 
         -0.425    1.65572e-17   -5.74604e-34 
          -0.42    1.69614e-17    2.45532e-34 
         -0.415    1.73747e-17    -1.3416e-35 
          -0.41    1.77974e-17    5.05174e-34 
         -0.405    1.82299e-17    1.46172e-35 
           -0.4    1.86725e-17      -4.41e-34 
         -0.395    1.91255e-17    6.80078e-34 
          -0.39     1.9589e-17   -5.81168e-34 
         -0.385    2.00634e-17   -5.40267e-34 
