      z,       b_n0_Re,       b_n0_Im
             -1,    1.87102e-13,      2.136e-27 
         -0.995,    2.02387e-13,   -1.30999e-27 
          -0.99,    2.18873e-13,    1.46198e-27 
         -0.985,    2.36592e-13,   -4.28531e-28 
          -0.98,     2.5559e-13,      1.123e-28 
         -0.975,    2.75912e-13,   -6.77725e-28 
          -0.97,    2.97596e-13,   -1.13354e-27 
         -0.965,    3.20657e-13,    2.43642e-28 
          -0.96,    3.45072e-13,   -2.41186e-28 
         -0.955,    3.70761e-13,    7.16558e-28 
          -0.95,    3.97578e-13,    2.02446e-28 
         -0.945,     4.2529e-13,     4.7412e-28 
          -0.94,    4.53571e-13,    1.06666e-27 
         -0.935,    4.81999e-13,    8.28109e-28 
          -0.93,    5.10057e-13,   -2.29947e-28 
         -0.925,    5.37139e-13,   -1.38643e-27 
          -0.92,     5.6257e-13,   -1.52936e-27 
         -0.915,    5.85626e-13,   -1.42725e-27 
          -0.91,    6.05551e-13,   -1.42532e-27 
         -0.905,    6.21586e-13,    5.24894e-28 
           -0.9,    6.32987e-13,    2.49296e-28 
         -0.895,     6.3904e-13,   -7.98035e-28 
          -0.89,    6.39066e-13,   -8.49106e-29 
         -0.885,     6.3242e-13,   -1.96578e-27 
          -0.88,     6.1848e-13,    2.12659e-27 
         -0.875,    5.96617e-13,   -6.83667e-28 
          -0.87,    5.66164e-13,    1.77657e-27 
         -0.865,    5.26377e-13,    1.62878e-27 
          -0.86,    4.76376e-13,   -1.63746e-27 
         -0.855,    4.15103e-13,   -3.63907e-27 
          -0.85,    3.41262e-13,   -6.64628e-28 
         -0.845,    2.53272e-13,   -6.84038e-28 
          -0.84,    1.49225e-13,    2.83157e-27 
         -0.835,    2.68584e-14,    3.65789e-27 
          -0.83,   -1.16452e-13,   -2.26444e-27 
         -0.825,   -2.83679e-13,   -2.61192e-27 
          -0.82,   -4.78091e-13,   -3.41511e-27 
         -0.815,   -7.03163e-13,    2.69792e-27 
          -0.81,   -9.62445e-13,    1.39431e-27 
         -0.805,   -1.25938e-12,    7.30906e-28 
           -0.8,   -1.59705e-12,   -5.41476e-27 
         -0.795,   -1.97792e-12,   -1.16472e-28 
          -0.79,   -2.40349e-12,   -2.76837e-27 
         -0.785,   -2.87395e-12,   -3.65781e-27 
          -0.78,   -3.38781e-12,   -4.19903e-27 
         -0.775,   -3.94154e-12,   -2.35978e-27 
          -0.77,   -4.52932e-12,   -9.31468e-28 
         -0.765,   -5.14279e-12,    8.10554e-27 
          -0.76,   -5.77104e-12,    2.84514e-27 
         -0.755,   -6.40061e-12,   -1.34076e-27 
          -0.75,   -7.01581e-12,    2.80087e-28 
         -0.745,   -7.59916e-12,    3.02381e-27 
          -0.74,   -8.13203e-12,   -6.73001e-28 
         -0.735,    -8.5954e-12,   -1.98727e-28 
          -0.73,   -8.97076e-12,   -9.74991e-28 
         -0.725,   -9.24102e-12,    2.62483e-27 
          -0.72,   -9.39142e-12,   -1.68506e-27 
         -0.715,   -9.41026e-12,     4.6897e-28 
          -0.71,   -9.28955e-12,    1.31875e-28 
         -0.705,    -9.0253e-12,    3.91716e-27 
           -0.7,   -8.61773e-12,    1.06437e-27 
         -0.695,   -8.07106e-12,    -1.5356e-28 
          -0.69,   -7.39317e-12,    8.21516e-27 
         -0.685,   -6.59505e-12,    -3.8613e-27 
          -0.68,   -5.69009e-12,    7.71884e-27 
         -0.675,   -4.69329e-12,    1.47291e-27 
          -0.67,   -3.62054e-12,    7.40018e-27 
         -0.665,   -2.48781e-12,    6.07146e-27 
          -0.66,   -1.31055e-12,    4.80904e-27 
         -0.655,   -1.03086e-13,   -8.36417e-27 
          -0.65,    1.12175e-12,   -8.01763e-27 
         -0.645,    2.35292e-12,   -1.81846e-27 
          -0.64,    3.58132e-12,   -5.88503e-27 
         -0.635,    4.79986e-12,    5.95254e-27 
          -0.63,    6.00336e-12,   -7.44394e-28 
         -0.625,    7.18848e-12,   -1.86978e-27 
          -0.62,    8.35351e-12,    -3.6408e-27 
         -0.615,    9.49821e-12,   -3.17599e-27 
          -0.61,    1.06236e-11,   -1.46094e-27 
         -0.605,    1.17316e-11,    1.05573e-27 
           -0.6,    1.28253e-11,    6.80711e-27 
         -0.595,    1.39082e-11,   -1.07904e-26 
          -0.59,    1.49845e-11,     7.5808e-27 
         -0.585,    1.60588e-11,    4.48226e-27 
          -0.58,    1.71362e-11,    8.11141e-28 
         -0.575,    1.82221e-11,   -1.24426e-27 
          -0.57,    1.93221e-11,    5.48744e-27 
         -0.565,    2.04425e-11,    -4.5588e-27 
          -0.56,    2.15896e-11,    1.75916e-27 
         -0.555,    2.27707e-11,    7.90725e-27 
          -0.55,    2.39932e-11,    2.82089e-27 
         -0.545,    2.52656e-11,    6.05996e-27 
          -0.54,    2.65971e-11,   -4.81693e-27 
         -0.535,     2.7998e-11,    3.09986e-27 
          -0.53,      2.948e-11,    1.36877e-27 
         -0.525,    3.10562e-11,   -4.91127e-27 
          -0.52,    3.27418e-11,   -7.49663e-27 
         -0.515,     3.4554e-11,    3.05606e-27 
          -0.51,    3.65126e-11,     7.0785e-29 
         -0.505,    3.86404e-11,    2.58568e-28 
           -0.5,    4.09638e-11,   -1.50176e-27 
         -0.495,    4.35129e-11,     2.6795e-27 
          -0.49,    4.63225e-11,   -1.00886e-26 
         -0.485,    4.94325e-11,    7.74624e-27 
          -0.48,    5.28885e-11,    3.70182e-27 
         -0.475,    5.67421e-11,   -6.39631e-27 
          -0.47,    6.10519e-11,   -5.40743e-27 
         -0.465,    6.58839e-11,    8.55667e-29 
          -0.46,    7.13115e-11,   -7.03138e-29 
         -0.455,    7.74157e-11,   -2.41494e-27 
          -0.45,    8.42852e-11,    8.05112e-27 
         -0.445,    9.20156e-11,    4.00591e-27 
          -0.44,    1.00708e-10,    5.96203e-27 
         -0.435,    1.10469e-10,    2.09505e-27 
          -0.43,    1.21405e-10,    8.57294e-27 
         -0.425,    1.33621e-10,    1.23593e-26 
