      z,       a_n0_Re,       a_n0_Im
             -1    -7.8104e-06   -1.30479e-22 
         -0.995   -8.77503e-06       4.24e-23 
          -0.99   -9.84913e-06    1.48063e-22 
         -0.985    -1.1043e-05    -1.4727e-22 
          -0.98   -1.23675e-05    3.27461e-22 
         -0.975    -1.3834e-05    7.48904e-22 
          -0.97   -1.54539e-05    -1.1968e-21 
         -0.965    -1.7239e-05   -1.49232e-21 
          -0.96    -1.9201e-05   -4.16861e-22 
         -0.955   -2.13512e-05    4.91879e-22 
          -0.95   -2.37005e-05    4.66118e-22 
         -0.945   -2.62587e-05    6.64628e-22 
          -0.94   -2.90341e-05   -6.63894e-22 
         -0.935   -3.20335e-05   -5.63339e-22 
          -0.93   -3.52611e-05    3.85013e-22 
         -0.925   -3.87182e-05    2.58458e-22 
          -0.92   -4.24026e-05   -1.31217e-21 
         -0.915   -4.63081e-05    2.15322e-22 
          -0.91   -5.04238e-05    1.37165e-21 
         -0.905   -5.47333e-05   -1.02351e-21 
           -0.9   -5.92149e-05   -1.77606e-22 
         -0.895   -6.38404e-05    -2.7207e-21 
          -0.89   -6.85758e-05    5.67928e-22 
         -0.885   -7.33805e-05   -1.30795e-21 
          -0.88   -7.82079e-05   -1.08748e-21 
         -0.875   -8.30058e-05    5.89117e-22 
          -0.87   -8.77174e-05    4.84386e-22 
         -0.865   -9.22819e-05   -3.97888e-22 
          -0.86   -9.66362e-05    7.17317e-22 
         -0.855   -0.000100716   -8.81312e-22 
          -0.85   -0.000104458    -9.8828e-22 
         -0.845   -0.000107803    2.75972e-22 
          -0.84   -0.000110693   -3.93641e-22 
         -0.835    -0.00011308    7.03976e-22 
          -0.83   -0.000114923    2.48016e-22 
         -0.825   -0.000116191   -4.02518e-22 
          -0.82   -0.000116862   -3.43179e-22 
         -0.815   -0.000116927    2.34275e-22 
          -0.81    -0.00011639   -1.78392e-22 
         -0.805   -0.000115264    3.55214e-22 
           -0.8   -0.000113574    1.10317e-21 
         -0.795   -0.000111355   -8.79729e-22 
          -0.79   -0.000108649    1.36052e-21 
         -0.785   -0.000105509    4.88169e-22 
          -0.78   -0.000101987    9.24349e-22 
         -0.775   -9.81441e-05    1.03735e-21 
          -0.77    -9.4039e-05   -1.33564e-21 
         -0.765   -8.97321e-05   -6.18008e-24 
          -0.76   -8.52818e-05    4.50925e-22 
         -0.755   -8.07436e-05    2.88623e-22 
          -0.75   -7.61693e-05    2.19724e-22 
         -0.745   -7.16058e-05   -5.78962e-24 
          -0.74   -6.70949e-05    2.35652e-21 
         -0.735   -6.26732e-05    3.16559e-21 
          -0.73   -5.83713e-05    2.41845e-21 
         -0.725   -5.42148e-05   -2.23357e-21 
          -0.72   -5.02237e-05   -1.09252e-21 
         -0.715   -4.64132e-05   -1.68687e-21 
          -0.71   -4.27943e-05   -2.33573e-21 
         -0.705   -3.93737e-05   -3.27595e-22 
           -0.7   -3.61546e-05   -1.42972e-21 
         -0.695   -3.31375e-05    8.39709e-22 
          -0.69     -3.032e-05    4.01566e-22 
         -0.685   -2.76978e-05   -4.74708e-22 
          -0.68   -2.52649e-05    4.27883e-22 
         -0.675   -2.30142e-05    5.80864e-22 
          -0.67   -2.09374e-05   -1.30978e-21 
         -0.665   -1.90257e-05    -1.1302e-21 
