      z,       b_n0_Re,       b_n0_Im
             -1,    -0.00602779,   -7.07631e-18 
         -0.995,    -0.00562334,   -5.48951e-18 
          -0.99,     -0.0051992,   -5.21828e-18 
         -0.985,    -0.00475465,   -5.66245e-18 
          -0.98,    -0.00428902,   -1.65221e-18 
         -0.975,    -0.00380162,    6.08236e-18 
          -0.97,    -0.00329178,    1.55346e-17 
         -0.965,    -0.00275883,    1.23848e-17 
          -0.96,    -0.00220209,    2.17095e-18 
         -0.955,    -0.00162089,    1.81704e-17 
          -0.95,    -0.00101457,    9.68192e-18 
         -0.945,   -0.000382453,    8.94758e-18 
          -0.94,    0.000276138,   -3.18276e-17 
         -0.935,    0.000961878,   -2.31971e-17 
          -0.93,     0.00167545,   -1.17842e-17 
         -0.925,     0.00241754,    1.02884e-17 
          -0.92,     0.00318885,    2.22497e-18 
         -0.915,     0.00399006,   -5.58037e-18 
          -0.91,     0.00482188,     2.4281e-17 
         -0.905,     0.00568501,    1.27235e-17 
           -0.9,     0.00658016,    2.48657e-17 
         -0.895,     0.00750806,   -1.53248e-17 
          -0.89,     0.00846941,    1.57386e-17 
         -0.885,     0.00946496,    2.38354e-17 
          -0.88,      0.0104954,    3.04143e-18 
         -0.875,      0.0115615,    1.16238e-17 
          -0.87,      0.0126641,   -2.39449e-17 
         -0.865,      0.0138038,   -1.02911e-17 
          -0.86,      0.0149814,    1.93637e-18 
         -0.855,      0.0161977,    1.90849e-17 
          -0.85,      0.0174534,    2.85327e-17 
         -0.845,      0.0187495,   -1.25707e-17 
          -0.84,      0.0200867,   -9.04341e-18 
         -0.835,      0.0214658,    4.42655e-18 
          -0.83,      0.0228876,    8.93377e-18 
         -0.825,      0.0243531,   -3.03828e-17 
          -0.82,      0.0258632,   -2.10228e-17 
         -0.815,      0.0274187,   -3.17572e-17 
          -0.81,      0.0290207,    9.68044e-18 
         -0.805,      0.0306701,    2.56875e-17 
           -0.8,      0.0323679,     -3.098e-17 
         -0.795,      0.0341152,    4.29561e-18 
          -0.79,      0.0359131,    2.77778e-17 
         -0.785,      0.0377627,   -1.05154e-17 
          -0.78,      0.0396653,   -1.05645e-17 
         -0.775,      0.0416221,    2.85631e-17 
          -0.77,      0.0436344,   -1.33634e-17 
         -0.765,      0.0457035,    2.20215e-17 
          -0.76,       0.047831,    1.78386e-17 
         -0.755,      0.0500183,    2.49407e-17 
          -0.75,      0.0522671,   -3.04126e-17 
         -0.745,      0.0545789,    6.64858e-18 
          -0.74,      0.0569557,    -2.6192e-17 
         -0.735,      0.0593991,     1.2663e-17 
          -0.73,      0.0619112,    1.70964e-17 
         -0.725,      0.0644941,   -1.63475e-17 
          -0.72,        0.06715,   -1.25088e-17 
         -0.715,      0.0698811,    8.19227e-18 
          -0.71,      0.0726898,    1.19739e-17 
         -0.705,      0.0755789,    2.24743e-17 
           -0.7,       0.078551,    2.78085e-17 
         -0.695,       0.081609,    2.18107e-18 
          -0.69,       0.084756,    2.77763e-17 
         -0.685,      0.0879952,   -1.59242e-17 
          -0.68,      0.0913302,   -2.57442e-17 
         -0.675,      0.0947644,    2.20305e-17 
          -0.67,      0.0983019,    3.08149e-18 
         -0.665,       0.101947,    -1.9511e-17 
          -0.66,       0.105703,   -1.94366e-18 
         -0.655,       0.109576,    2.50554e-17 
          -0.65,        0.11357,    6.69531e-18 
         -0.645,       0.117691,    3.36257e-17 
          -0.64,       0.121944,    2.43438e-17 
         -0.635,       0.126334,   -2.02263e-18 
          -0.63,       0.130869,   -1.47913e-17 
         -0.625,       0.135555,    1.80597e-17 
          -0.62,       0.140399,   -2.66815e-17 
         -0.615,       0.145408,    7.26306e-18 
          -0.61,       0.150591,   -2.72586e-17 
         -0.605,       0.155957,    6.44172e-18 
           -0.6,       0.161513,     -2.852e-18 
         -0.595,        0.16727,   -3.77246e-17 
          -0.59,       0.173238,   -3.37583e-17 
         -0.585,       0.179428,   -2.76416e-17 
          -0.58,       0.185851,    6.50669e-18 
         -0.575,        0.19252,   -5.67264e-18 
          -0.57,       0.199447,   -1.15218e-17 
         -0.565,       0.206645,   -1.25919e-17 
          -0.56,       0.214131,    1.51477e-17 
         -0.555,       0.221918,    6.87338e-18 
          -0.55,       0.230022,   -5.63061e-18 
         -0.545,       0.238461,   -1.29581e-17 
          -0.54,       0.247252,   -1.75865e-17 
         -0.535,       0.256414,   -1.66312e-17 
          -0.53,       0.265966,   -1.43851e-17 
         -0.525,       0.275927,    3.37864e-18 
          -0.52,        0.28632,    2.19024e-17 
         -0.515,       0.297166,    2.15767e-17 
          -0.51,       0.308486,    2.75255e-18 
         -0.505,       0.320305,    1.41542e-18 
           -0.5,       0.332645,    5.19305e-18 
         -0.495,       0.345531,   -2.41409e-17 
          -0.49,       0.358986,    -2.7756e-17 
         -0.485,       0.373037,    1.97746e-17 
          -0.48,       0.387705,    -1.5684e-17 
         -0.475,       0.403018,    2.01231e-17 
          -0.47,       0.418997,    2.69798e-17 
         -0.465,       0.435666,    1.07754e-17 
          -0.46,       0.453049,   -3.85228e-18 
         -0.455,       0.471165,   -1.91858e-17 
          -0.45,       0.490035,    -5.4624e-19 
         -0.445,       0.509678,    1.72086e-17 
          -0.44,       0.530108,    2.12013e-17 
         -0.435,        0.55134,    2.15153e-19 
          -0.43,       0.573383,   -1.20955e-17 
         -0.425,       0.596247,    3.66798e-17 
          -0.42,       0.619934,     8.4096e-19 
         -0.415,       0.644444,    9.45571e-18 
          -0.41,       0.669774,    -3.0025e-17 
         -0.405,       0.695915,     2.8669e-17 
           -0.4,       0.722853,    1.42887e-17 
         -0.395,       0.750569,   -8.09168e-18 
          -0.39,       0.779038,   -3.16776e-17 
         -0.385,       0.808233,    7.27039e-17 
          -0.38,       0.838116,    -6.6172e-17 
         -0.375,       0.868646,   -8.25027e-18 
          -0.37,       0.899777,    4.43555e-17 
         -0.365,       0.931456,    1.50449e-17 
          -0.36,       0.963625,   -4.71993e-17 
         -0.355,       0.996219,    6.52996e-17 
          -0.35,        1.02917,   -2.48095e-19 
         -0.345,        1.06241,   -1.56667e-17 
          -0.34,        1.09585,    3.92827e-17 
         -0.335,        1.12942,    1.44705e-17 
          -0.33,        1.16304,    4.04769e-19 
         -0.325,        1.19661,    1.97766e-17 
          -0.32,        1.23005,    3.93068e-17 
         -0.315,        1.26327,     1.0329e-17 
          -0.31,        1.29618,    4.28456e-18 
         -0.305,         1.3287,     1.8138e-17 
           -0.3,        1.36074,   -9.39971e-18 
         -0.295,        1.39221,    5.97185e-18 
          -0.29,        1.42304,   -2.40835e-17 
         -0.285,        1.45315,   -4.50386e-17 
          -0.28,        1.48246,      1.778e-17 
         -0.275,        1.51092,    2.92279e-17 
          -0.27,        1.53846,     1.4479e-17 
         -0.265,        1.56503,    -1.5213e-17 
          -0.26,        1.59057,    3.32272e-18 
         -0.255,        1.61506,    -2.5323e-17 
          -0.25,        1.63846,    4.63446e-17 
         -0.245,        1.66074,    3.07827e-17 
          -0.24,        1.68188,    4.04263e-18 
         -0.235,        1.70187,    1.32493e-17 
          -0.23,        1.72072,   -3.29136e-17 
         -0.225,        1.73842,   -1.83859e-17 
          -0.22,        1.75499,   -4.18633e-18 
         -0.215,        1.77043,   -2.31494e-17 
          -0.21,        1.78478,   -2.40495e-17 
         -0.205,        1.79805,    2.61424e-17 
           -0.2,        1.81028,   -6.32307e-18 
         -0.195,        1.82151,    1.33777e-17 
          -0.19,        1.83177,    3.40413e-18 
         -0.185,        1.84111,   -1.67226e-17 
          -0.18,        1.84957,    3.26545e-17 
         -0.175,         1.8572,    3.24828e-17 
          -0.17,        1.86404,   -2.11231e-18 
         -0.165,        1.87015,   -1.67069e-17 
          -0.16,        1.87557,   -9.55631e-18 
         -0.155,        1.88035,    1.92167e-17 
          -0.15,        1.88453,   -4.74609e-18 
         -0.145,        1.88818,   -3.28207e-18 
          -0.14,        1.89132,    1.83338e-17 
         -0.135,        1.89401,    2.63989e-17 
          -0.13,        1.89628,    1.96724e-17 
         -0.125,        1.89819,    5.39508e-18 
          -0.12,        1.89976,    1.41331e-17 
         -0.115,        1.90103,   -1.24249e-18 
          -0.11,        1.90205,   -3.34835e-18 
         -0.105,        1.90283,    5.96213e-18 
           -0.1,        1.90341,   -5.54672e-18 
         -0.095,        1.90382,   -8.20342e-18 
          -0.09,        1.90408,    3.27031e-18 
         -0.085,        1.90422,   -5.06752e-18 
          -0.08,        1.90425,    4.19472e-18 
         -0.075,         1.9042,   -4.68308e-19 
          -0.07,        1.90409,    1.15302e-17 
         -0.065,        1.90392,    -6.4398e-18 
          -0.06,        1.90372,    6.42725e-18 
         -0.055,        1.90349,   -5.35493e-18 
          -0.05,        1.90326,    -5.2712e-19 
         -0.045,        1.90301,    4.94889e-18 
          -0.04,        1.90278,    2.46826e-18 
         -0.035,        1.90255,   -4.03942e-18 
          -0.03,        1.90234,    5.79317e-18 
         -0.025,        1.90216,   -1.91015e-18 
          -0.02,          1.902,     1.3711e-18 
         -0.015,        1.90188,    1.05839e-18 
          -0.01,        1.90179,    3.44759e-19 
         -0.005,        1.90173,   -5.65886e-19 
              0,        1.90171,    5.23615e-34 
          0.005,        1.90173,    2.40488e-19 
           0.01,        1.90179,   -3.44759e-19 
          0.015,        1.90188,   -6.57313e-19 
           0.02,          1.902,    -1.3711e-18 
          0.025,        1.90216,    1.15433e-18 
           0.03,        1.90234,   -5.79317e-18 
          0.035,        1.90255,    5.55778e-18 
           0.04,        1.90278,   -2.46826e-18 
          0.045,        1.90301,   -4.94889e-18 
           0.05,        1.90326,    -5.5366e-18 
          0.055,        1.90349,    5.35493e-18 
           0.06,        1.90372,    4.37315e-18 
          0.065,        1.90392,     6.4398e-18 
           0.07,        1.90409,   -1.23766e-18 
          0.075,         1.9042,    4.68308e-19 
           0.08,        1.90425,    5.70806e-18 
          0.085,        1.90422,    5.06752e-18 
           0.09,        1.90408,   -3.27652e-18 
          0.095,        1.90382,    8.20342e-18 
            0.1,        1.90341,    8.07858e-18 
          0.105,        1.90283,   -5.96213e-18 
           0.11,        1.90205,   -2.52088e-17 
          0.115,        1.90103,    1.24249e-18 
           0.12,        1.89976,    1.06961e-17 
          0.125,        1.89819,   -5.39508e-18 
           0.13,        1.89628,   -1.17307e-17 
          0.135,        1.89401,   -2.63989e-17 
           0.14,        1.89132,    6.91218e-18 
          0.145,        1.88818,    3.28207e-18 
           0.15,        1.88453,   -1.98398e-17 
          0.155,        1.88035,   -1.92167e-17 
           0.16,        1.87557,   -9.52082e-18 
          0.165,        1.87015,    1.67069e-17 
           0.17,        1.86404,    2.11231e-18 
          0.175,         1.8572,    8.71005e-18 
           0.18,        1.84957,   -3.26545e-17 
          0.185,        1.84111,    1.60838e-17 
           0.19,        1.83177,   -3.40413e-18 
          0.195,        1.82151,   -1.49051e-17 
            0.2,        1.81028,    6.32307e-18 
          0.205,        1.79805,   -1.17553e-17 
           0.21,        1.78478,    2.40495e-17 
          0.215,        1.77043,    6.97304e-19 
           0.22,        1.75499,    4.18633e-18 
          0.225,        1.73842,   -2.12011e-17 
           0.23,        1.72072,    3.29136e-17 
          0.235,        1.70187,    2.95468e-17 
           0.24,        1.68188,   -4.04263e-18 
          0.245,        1.66074,   -1.06363e-17 
