      z,       a_n0_Re,       a_n0_Im
             -1    1.66752e-19    5.99421e-33 
         -0.995     4.5771e-19   -3.42197e-33 
          -0.99    7.46575e-19   -4.91171e-33 
         -0.985    1.03029e-18   -5.53955e-34 
          -0.98    1.30599e-18   -2.45918e-33 
         -0.975    1.57117e-18   -2.00101e-33 
          -0.97    1.82374e-18    2.21762e-34 
         -0.965    2.06211e-18   -8.40573e-34 
          -0.96    2.28519e-18   -1.23386e-33 
         -0.955    2.49239e-18   -9.06581e-34 
          -0.95    2.68357e-18   -1.00919e-33 
         -0.945    2.85897e-18   -1.06872e-33 
          -0.94    3.01915e-18    3.87488e-34 
         -0.935    3.16488e-18    3.34035e-33 
          -0.93    3.29706e-18   -2.91142e-34 
         -0.925    3.41671e-18   -4.40589e-33 
          -0.92    3.52481e-18   -2.15015e-33 
         -0.915    3.62234e-18    3.05552e-33 
          -0.91    3.71021e-18    2.31765e-33 
         -0.905    3.78923e-18   -3.19508e-33 
           -0.9    3.86012e-18    4.22047e-33 
         -0.895    3.92352e-18   -2.05269e-34 
          -0.89    3.97998e-18   -2.85462e-33 
         -0.885    4.02997e-18    8.06664e-35 
          -0.88    4.07394e-18    -9.2017e-34 
         -0.875    4.11229e-18   -3.53013e-33 
          -0.87    4.14544e-18   -1.59504e-33 
         -0.865    4.17383e-18    7.95205e-34 
          -0.86    4.19795e-18     9.1505e-34 
         -0.855    4.21835e-18    -1.7925e-33 
          -0.85    4.23565e-18   -1.73474e-34 
         -0.845    4.25053e-18   -4.27424e-34 
          -0.84    4.26374e-18    9.56856e-34 
         -0.835    4.27607e-18    1.58359e-33 
          -0.83    4.28835e-18     1.9783e-33 
         -0.825    4.30139e-18   -4.29723e-34 
          -0.82    4.31599e-18   -2.14936e-33 
         -0.815    4.33286e-18    3.67861e-33 
          -0.81    4.35266e-18   -7.29246e-34 
         -0.805    4.37591e-18   -1.47337e-33 
           -0.8    4.40304e-18    3.98609e-33 
         -0.795    4.43436e-18    1.33044e-33 
          -0.79    4.47006e-18   -4.84572e-34 
         -0.785    4.51028e-18   -1.24692e-34 
          -0.78     4.5551e-18    1.68645e-33 
         -0.775    4.60462e-18    1.87702e-34 
          -0.77    4.65899e-18   -2.84417e-33 
         -0.765    4.71847e-18   -1.33764e-33 
          -0.76    4.78352e-18   -2.98117e-34 
         -0.755    4.85478e-18    2.52793e-33 
          -0.75     4.9332e-18    4.82626e-34 
         -0.745       5.02e-18    3.40773e-34 
          -0.74    5.11675e-18    2.45415e-33 
         -0.735    5.22533e-18   -1.61702e-33 
          -0.73    5.34797e-18    3.74555e-33 
         -0.725    5.48716e-18    1.13448e-33 
          -0.72     5.6457e-18   -3.90654e-34 
         -0.715    5.82655e-18    2.69447e-33 
          -0.71    6.03286e-18    2.09887e-33 
         -0.705    6.26786e-18    6.41958e-34 
           -0.7    6.53481e-18    2.74245e-33 
         -0.695    6.83696e-18    1.08547e-33 
          -0.69     7.1775e-18    1.52626e-33 
         -0.685    7.55957e-18   -2.66688e-33 
          -0.68    7.98625e-18   -1.44658e-33 
         -0.675    8.46059e-18   -5.71505e-33 
          -0.67    8.98568e-18    8.90752e-35 
         -0.665    9.56469e-18    9.80593e-34 
          -0.66     1.0201e-17   -2.90783e-33 
         -0.655    1.08983e-17     7.8814e-34 
          -0.65    1.16606e-17   -3.89183e-34 
         -0.645    1.24923e-17      2.283e-33 
          -0.64    1.33983e-17    1.42798e-33 
         -0.635    1.43841e-17   -3.47741e-33 
          -0.63    1.54556e-17     1.4706e-33 
         -0.625     1.6619e-17   -3.16237e-33 
          -0.62    1.78809e-17    2.98782e-33 
         -0.615    1.92481e-17    6.89512e-34 
          -0.61    2.07274e-17   -2.24212e-33 
         -0.605    2.23256e-17    8.10114e-34 
           -0.6    2.40492e-17    1.01849e-33 
         -0.595    2.59046e-17   -6.84059e-34 
          -0.59     2.7898e-17   -4.49993e-33 
         -0.585    3.00352e-17    2.64034e-33 
          -0.58    3.23222e-17   -2.45471e-33 
         -0.575    3.47648e-17    3.96668e-33 
          -0.57    3.73689e-17   -4.83125e-33 
         -0.565     4.0141e-17    5.41128e-34 
          -0.56    4.30876e-17   -1.43257e-33 
         -0.555     4.6216e-17   -1.00293e-33 
          -0.55    4.95336e-17     3.3303e-33 
         -0.545    5.30482e-17     -1.546e-34 
          -0.54    5.67673e-17   -5.84234e-33 
         -0.535    6.06981e-17    6.75792e-34 
          -0.53    6.48468e-17    1.17857e-33 
         -0.525     6.9218e-17   -5.53422e-34 
          -0.52    7.38139e-17    2.23034e-33 
         -0.515    7.86338e-17    2.24887e-33 
          -0.51    8.36734e-17    3.33439e-33 
         -0.505    8.89235e-17     2.0824e-33 
           -0.5    9.43702e-17    2.01603e-33 
         -0.495    9.99935e-17      8.441e-33 
          -0.49    1.05767e-16   -6.03162e-33 
         -0.485    1.11657e-16    3.46775e-33 
          -0.48    1.17624e-16   -1.66221e-33 
         -0.475    1.23619e-16   -1.34793e-33 
          -0.47    1.29586e-16   -5.34697e-33 
         -0.465    1.35461e-16   -5.64176e-33 
          -0.46    1.41172e-16    6.95657e-33 
         -0.455    1.46638e-16   -1.71136e-33 
          -0.45    1.51772e-16    1.40606e-33 
         -0.445    1.56478e-16   -2.90446e-33 
          -0.44    1.60652e-16   -1.62291e-33 
         -0.435    1.64184e-16    5.13655e-34 
          -0.43    1.66959e-16    2.43178e-33 
         -0.425    1.68855e-16    1.73993e-33 
          -0.42    1.69749e-16    1.53908e-33 
         -0.415    1.69516e-16    2.10256e-33 
          -0.41    1.68031e-16    5.36199e-33 
         -0.405    1.65173e-16    9.71923e-33 
           -0.4    1.60827e-16   -8.73542e-33 
         -0.395    1.54888e-16    -1.7132e-33 
          -0.39    1.47264e-16   -1.52513e-32 
         -0.385    1.37876e-16   -3.13172e-33 
          -0.38    1.26668e-16    2.31638e-33 
         -0.375    1.13603e-16    8.97913e-33 
          -0.37    9.86687e-17    3.18664e-33 
         -0.365    8.18807e-17   -9.56882e-33 
          -0.36    6.32819e-17   -1.63469e-32 
         -0.355    4.29447e-17   -2.12419e-32 
          -0.35    2.09714e-17   -1.68309e-33 
         -0.345     -2.506e-18   -1.14356e-32 
          -0.34   -2.73264e-17    1.46777e-32 
         -0.335   -5.33012e-17    7.86364e-33 
          -0.33   -8.02164e-17   -9.95802e-33 
         -0.325   -1.07835e-16   -7.34688e-34 
          -0.32   -1.35902e-16   -2.08329e-32 
         -0.315   -1.64144e-16     1.4564e-32 
          -0.31    -1.9228e-16    2.89708e-33 
         -0.305   -2.20021e-16    4.64669e-34 
           -0.3   -2.47077e-16   -2.07587e-33 
         -0.295   -2.73165e-16    9.69862e-33 
          -0.29    -2.9801e-16    2.02954e-32 
         -0.285   -3.21355e-16   -9.37658e-33 
          -0.28   -3.42964e-16   -1.24243e-33 
         -0.275    -3.6263e-16    3.11383e-33 
          -0.27   -3.80177e-16   -1.01346e-33 
         -0.265   -3.95465e-16    2.99885e-33 
          -0.26   -4.08391e-16    7.05884e-33 
         -0.255   -4.18893e-16    2.68918e-33 
          -0.25   -4.26948e-16    1.37543e-33 
         -0.245   -4.32573e-16   -5.96637e-34 
          -0.24   -4.35822e-16   -4.56844e-33 
         -0.235    -4.3678e-16   -1.69929e-33 
          -0.23   -4.35564e-16    7.68572e-35 
         -0.225   -4.32317e-16    5.82356e-34 
          -0.22   -4.27203e-16    5.10625e-33 
         -0.215   -4.20404e-16   -3.58001e-33 
          -0.21   -4.12114e-16    3.81504e-33 
         -0.205   -4.02537e-16    5.85564e-34 
           -0.2   -3.91882e-16   -2.94366e-34 
         -0.195    -3.8036e-16     2.3049e-33 
          -0.19   -3.68177e-16    5.80332e-33 
         -0.185   -3.55536e-16   -7.05542e-33 
          -0.18   -3.42628e-16    2.78163e-33 
         -0.175    -3.2963e-16    2.64416e-33 
          -0.17   -3.16704e-16    3.91815e-33 
         -0.165   -3.03993e-16    1.09926e-32 
          -0.16   -2.91619e-16    4.86224e-33 
         -0.155    -2.7968e-16   -3.03077e-33 
          -0.15   -2.68255e-16    5.22986e-34 
         -0.145     -2.574e-16    2.60859e-33 
          -0.14   -2.47149e-16    5.90228e-33 
         -0.135    -2.3752e-16   -4.90358e-33 
          -0.13   -2.28514e-16   -2.92558e-33 
         -0.125   -2.20121e-16   -7.70206e-34 
          -0.12    -2.1232e-16   -2.91751e-33 
         -0.115   -2.05084e-16   -3.34129e-33 
          -0.11   -1.98383e-16   -1.57322e-33 
         -0.105   -1.92186e-16    2.68641e-33 
           -0.1   -1.86462e-16    2.76533e-34 
         -0.095   -1.81185e-16     -2.974e-33 
          -0.09   -1.76329e-16    4.27024e-33 
         -0.085   -1.71875e-16    4.24686e-33 
          -0.08   -1.67802e-16    3.13507e-33 
         -0.075   -1.64098e-16     9.9772e-34 
          -0.07   -1.60748e-16    3.96655e-33 
         -0.065    -1.5774e-16   -8.68358e-33 
          -0.06   -1.55063e-16    4.03312e-33 
         -0.055   -1.52705e-16   -8.15585e-34 
          -0.05   -1.50652e-16   -1.36032e-33 
         -0.045    -1.4889e-16    6.20777e-34 
          -0.04   -1.47401e-16   -1.14915e-33 
         -0.035   -1.46166e-16   -3.17242e-34 
          -0.03   -1.45164e-16   -3.31055e-33 
         -0.025   -1.44372e-16   -1.61651e-33 
          -0.02   -1.43767e-16   -1.08563e-33 
         -0.015   -1.43329e-16   -7.04219e-34 
          -0.01   -1.43037e-16    4.97587e-34 
         -0.005   -1.42877e-16   -3.72468e-34 
              0   -1.42839e-16   -9.23461e-36 
          0.005   -1.42919e-16   -2.14507e-35 
           0.01   -1.43119e-16   -5.42474e-34 
          0.015   -1.43444e-16   -9.05424e-35 
           0.02   -1.43906e-16    1.09373e-33 
          0.025   -1.44519e-16   -1.64396e-34 
           0.03     -1.453e-16    3.31618e-33 
          0.035   -1.46266e-16    3.37215e-33 
           0.04   -1.47433e-16    1.18249e-33 
          0.045   -1.48818e-16   -5.77789e-34 
           0.05   -1.50437e-16    2.26704e-33 
          0.055   -1.52307e-16    7.81494e-34 
           0.06   -1.54444e-16    7.02385e-36 
          0.065   -1.56869e-16    8.65408e-33 
           0.07   -1.59601e-16    1.30985e-33 
          0.075   -1.62663e-16   -1.00146e-33 
           0.08   -1.66081e-16   -3.00079e-33 
          0.085   -1.69881e-16   -4.24029e-33 
           0.09    -1.7409e-16   -7.83028e-34 
          0.095   -1.78737e-16    2.97914e-33 
            0.1   -1.83848e-16    5.97881e-33 
          0.105    -1.8945e-16   -2.69342e-33 
           0.11   -1.95568e-16    3.38333e-33 
          0.115   -2.02226e-16    3.29865e-33 
           0.12   -2.09446e-16   -4.37149e-34 
          0.125   -2.17249e-16    7.55189e-34 
           0.13   -2.25651e-16    4.82085e-33 
          0.135   -2.34666e-16    4.88047e-33 
           0.14   -2.44301e-16    4.65175e-33 
          0.145   -2.54557e-16   -2.57088e-33 
           0.15   -2.65422e-16    3.86987e-33 
          0.155   -2.76871e-16    3.04555e-33 
           0.16   -2.88865e-16    1.25318e-33 
          0.165   -3.01339e-16   -1.11219e-32 
           0.17   -3.14212e-16    -3.8927e-33 
          0.175   -3.27375e-16   -5.10432e-33 
           0.18   -3.40695e-16    -2.8516e-33 
          0.185   -3.54014e-16   -6.49747e-33 
           0.19   -3.67151e-16   -5.92687e-33 
          0.195   -3.79908e-16   -6.71445e-33 
            0.2   -3.92067e-16    2.36314e-34 
          0.205   -4.03401e-16    3.63547e-33 
           0.21   -4.13678e-16   -4.14524e-33 
          0.215   -4.22663e-16   -1.40624e-33 
           0.22    -4.3013e-16   -5.21061e-33 
          0.225   -4.35861e-16   -2.16794e-33 
           0.23   -4.39655e-16   -2.18163e-34 
          0.235   -4.41334e-16   -1.72698e-33 
           0.24   -4.40744e-16    4.61023e-33 
          0.245   -4.37763e-16    5.96034e-33 
           0.25   -4.32303e-16   -1.50107e-33 
          0.255   -4.24314e-16   -3.17016e-33 
           0.26   -4.13786e-16   -7.04793e-33 
          0.265    -4.0075e-16    6.00872e-34 
           0.27    -3.8528e-16     9.3425e-34 
          0.275   -3.67489e-16    -1.4754e-33 
           0.28   -3.47531e-16    1.17868e-33 
          0.285   -3.25595e-16    1.63517e-33 
           0.29     -3.019e-16   -2.04278e-32 
          0.295   -2.76693e-16    6.46691e-33 
            0.3   -2.50239e-16    3.09242e-32 
          0.305   -2.22818e-16   -4.29665e-34 
           0.31    -1.9472e-16     1.4172e-32 
          0.315   -1.66236e-16   -1.44143e-32 
           0.32   -1.37653e-16    3.24959e-32 
          0.325   -1.09254e-16    8.30809e-34 
           0.33   -8.13051e-17    2.17439e-32 
          0.335    -5.4061e-17   -7.75836e-33 
           0.34   -2.77556e-17    -1.6061e-32 
          0.345   -2.60158e-18    1.15784e-32 
           0.35    2.12121e-17   -1.66372e-32 
          0.355    4.35219e-17    2.12681e-32 
           0.36    6.41911e-17   -9.02211e-33 
          0.365    8.31109e-17    9.58415e-33 
           0.37    1.00201e-16     1.5531e-33 
          0.375    1.15409e-16   -9.01159e-33 
           0.38    1.28713e-16   -1.01357e-32 
          0.385    1.40115e-16     3.1205e-33 
           0.39    1.49646e-16    1.94158e-33 
          0.395     1.5736e-16    1.74367e-33 
