      z,       b_n0_Re,       b_n0_Im
             -1,   -3.66035e-13,   -2.79331e-28 
         -0.995,   -3.55597e-13,    8.62711e-28 
          -0.99,   -3.44049e-13,   -8.54768e-28 
         -0.985,   -3.31309e-13,    6.20858e-28 
          -0.98,   -3.17298e-13,     6.9934e-28 
         -0.975,   -3.01943e-13,    4.87967e-28 
          -0.97,    -2.8518e-13,    4.27004e-28 
         -0.965,   -2.66949e-13,   -8.47993e-28 
          -0.96,   -2.47195e-13,   -1.73376e-27 
         -0.955,   -2.25873e-13,    1.20538e-27 
          -0.95,   -2.02939e-13,    1.01017e-28 
         -0.945,   -1.78356e-13,    1.10948e-27 
          -0.94,   -1.52092e-13,    6.95337e-29 
         -0.935,   -1.24115e-13,   -2.80471e-28 
          -0.93,   -9.43992e-14,    9.56793e-29 
         -0.925,   -6.29188e-14,   -1.01667e-27 
          -0.92,   -2.96502e-14,   -5.57524e-28 
         -0.915,     5.4289e-15,   -5.25524e-28 
          -0.91,    4.23403e-14,   -9.58146e-28 
         -0.905,    8.11052e-14,   -1.63137e-28 
           -0.9,    1.21744e-13,   -6.71304e-28 
         -0.895,    1.64278e-13,    2.56608e-29 
          -0.89,    2.08728e-13,   -9.63206e-28 
         -0.885,    2.55113e-13,    3.31292e-28 
          -0.88,    3.03453e-13,    3.21425e-28 
         -0.875,     3.5377e-13,    6.29666e-28 
          -0.87,    4.06081e-13,    1.00456e-28 
         -0.865,    4.60409e-13,    5.02187e-28 
          -0.86,    5.16771e-13,    6.93233e-28 
         -0.855,    5.75187e-13,    4.52262e-28 
          -0.85,    6.35676e-13,    1.78512e-27 
         -0.845,    6.98258e-13,   -1.20467e-27 
          -0.84,    7.62952e-13,   -5.63037e-28 
         -0.835,    8.29775e-13,    9.53636e-29 
          -0.83,    8.98749e-13,    3.26952e-28 
         -0.825,     9.6989e-13,    6.88346e-28 
          -0.82,    1.04322e-12,    3.92355e-28 
         -0.815,    1.11876e-12,   -6.54949e-28 
          -0.81,    1.19652e-12,   -8.56703e-28 
         -0.805,    1.27653e-12,   -5.79178e-28 
           -0.8,    1.35882e-12,    3.43092e-28 
         -0.795,    1.44339e-12,    1.49815e-27 
          -0.79,    1.53028e-12,   -1.17665e-27 
         -0.785,     1.6195e-12,   -2.51212e-28 
          -0.78,    1.71109e-12,    1.05314e-27 
         -0.775,    1.80506e-12,   -1.10801e-27 
          -0.77,    1.90146e-12,   -1.71965e-27 
         -0.765,     2.0003e-12,    9.05501e-28 
          -0.76,    2.10161e-12,    4.81999e-28 
         -0.755,    2.20544e-12,   -2.00124e-28 
          -0.75,    2.31182e-12,   -3.95383e-28 
         -0.745,    2.42077e-12,    -1.8348e-27 
          -0.74,    2.53235e-12,    8.86862e-28 
         -0.735,     2.6466e-12,    1.04699e-27 
          -0.73,    2.76355e-12,   -3.59004e-28 
         -0.725,    2.88326e-12,   -1.75432e-27 
          -0.72,    3.00578e-12,   -4.68211e-28 
         -0.715,    3.13117e-12,    8.81803e-28 
          -0.71,    3.25947e-12,   -9.40031e-28 
         -0.705,    3.39076e-12,   -1.93764e-27 
           -0.7,    3.52509e-12,   -1.95276e-27 
         -0.695,    3.66254e-12,     1.7356e-28 
          -0.69,    3.80317e-12,    1.35258e-27 
         -0.685,    3.94708e-12,   -9.75319e-29 
          -0.68,    4.09434e-12,    1.15217e-27 
         -0.675,    4.24503e-12,   -1.83749e-27 
          -0.67,    4.39926e-12,    2.39615e-29 
         -0.665,    4.55712e-12,   -1.82074e-27 
          -0.66,    4.71872e-12,     1.4319e-27 
         -0.655,    4.88418e-12,   -4.99464e-28 
          -0.65,    5.05361e-12,    -5.8343e-28 
         -0.645,    5.22716e-12,   -3.82514e-28 
          -0.64,    5.40495e-12,   -4.84466e-28 
         -0.635,    5.58714e-12,     6.3292e-28 
          -0.63,     5.7739e-12,    6.76023e-28 
         -0.625,    5.96541e-12,    2.90119e-28 
          -0.62,    6.16187e-12,   -9.83316e-28 
         -0.615,    6.36348e-12,   -2.20663e-28 
          -0.61,    6.57048e-12,    1.18904e-27 
         -0.605,    6.78314e-12,    2.18764e-28 
           -0.6,    7.00173e-12,    7.33703e-28 
         -0.595,    7.22659e-12,    1.45697e-28 
          -0.59,    7.45805e-12,    3.19424e-29 
         -0.585,    7.69652e-12,    3.09998e-28 
          -0.58,    7.94244e-12,   -1.86893e-28 
         -0.575,    8.19629e-12,   -1.20487e-27 
          -0.57,    8.45863e-12,    4.76513e-28 
         -0.565,    8.73007e-12,   -2.66636e-28 
          -0.56,     9.0113e-12,   -1.84357e-27 
         -0.555,     9.3031e-12,     5.8001e-29 
          -0.55,    9.60632e-12,   -1.02611e-27 
         -0.545,    9.92193e-12,    5.45624e-28 
          -0.54,     1.0251e-11,    1.26939e-27 
         -0.535,    1.05948e-11,   -9.85004e-28 
          -0.53,    1.09545e-11,    1.73582e-27 
         -0.525,    1.13318e-11,    3.02454e-28 
          -0.52,    1.17283e-11,    8.56022e-28 
         -0.515,    1.21458e-11,   -9.27259e-28 
          -0.51,    1.25863e-11,     1.7776e-27 
         -0.505,    1.30521e-11,    2.78613e-27 
           -0.5,    1.35456e-11,    -6.0637e-28 
         -0.495,    1.40695e-11,    7.55647e-29 
          -0.49,    1.46267e-11,   -1.48504e-27 
         -0.485,    1.52205e-11,   -2.04107e-27 
          -0.48,    1.58541e-11,    1.43158e-27 
         -0.475,    1.65313e-11,    1.26709e-27 
          -0.47,    1.72558e-11,    4.76081e-29 
         -0.465,     1.8032e-11,    8.39356e-28 
          -0.46,     1.8864e-11,   -8.55066e-28 
         -0.455,    1.97564e-11,   -1.45012e-27 
          -0.45,    2.07138e-11,   -1.57214e-27 
         -0.445,    2.17411e-11,    3.01947e-27 
          -0.44,     2.2843e-11,    5.56644e-29 
         -0.435,    2.40245e-11,      6.863e-28 
          -0.43,    2.52902e-11,   -3.75533e-27 
         -0.425,    2.66449e-11,    9.87558e-28 
          -0.42,    2.80928e-11,   -5.95179e-28 
         -0.415,    2.96381e-11,    1.69453e-27 
          -0.41,    3.12845e-11,    1.51324e-27 
         -0.405,     3.3035e-11,   -1.51034e-27 
           -0.4,    3.48922e-11,   -1.48406e-27 
         -0.395,    3.68577e-11,    1.22787e-27 
          -0.39,    3.89325e-11,    1.17215e-27 
         -0.385,    4.11164e-11,   -4.23341e-28 
          -0.38,    4.34083e-11,    7.39682e-28 
         -0.375,    4.58059e-11,   -2.93661e-27 
          -0.37,    4.83057e-11,    3.01325e-27 
         -0.365,    5.09028e-11,   -1.37088e-27 
          -0.36,    5.35912e-11,   -3.68875e-27 
         -0.355,    5.63636e-11,    3.93041e-27 
          -0.35,    5.92111e-11,    8.66064e-28 
         -0.345,    6.21239e-11,    1.65672e-27 
          -0.34,    6.50907e-11,    5.55316e-27 
         -0.335,    6.80995e-11,   -1.88905e-27 
          -0.33,     7.1137e-11,   -2.64451e-28 
         -0.325,    7.41892e-11,   -6.99612e-28 
          -0.32,    7.72415e-11,   -3.75086e-27 
         -0.315,    8.02789e-11,   -8.43845e-28 
