# ---------- Simulated data ------------- 
# model R0= 0.200000 
# --------------------------------------- 
# Br(z,th) data
# z followed by pairs of (th,Br) 
 0.187300  # r_probes
 5.000000  # th_step(deg)
 0.005000  # z_step 
  401  # Nz (number of z points) 
  73  # Nt (number of theta points) 
DATA_Z_TH_BR_FldData
  0 
-1.000000 0.000000 0.000000
-1.000000 5.000000 0.000279
-1.000000 10.000000 0.000549
-1.000000 15.000000 0.000802
-1.000000 20.000000 0.001031
-1.000000 25.000000 0.001228
-1.000000 30.000000 0.001388
-1.000000 35.000000 0.001506
-1.000000 40.000000 0.001578
-1.000000 45.000000 0.001603
-1.000000 50.000000 0.001578
-1.000000 55.000000 0.001506
-1.000000 60.000000 0.001388
-1.000000 65.000000 0.001228
-1.000000 70.000000 0.001031
-1.000000 75.000000 0.000802
-1.000000 80.000000 0.000549
-1.000000 85.000000 0.000279
-1.000000 90.000000 -0.000000
-1.000000 95.000000 -0.000279
-1.000000 100.000000 -0.000549
-1.000000 105.000000 -0.000802
-1.000000 110.000000 -0.001031
-1.000000 115.000000 -0.001228
-1.000000 120.000000 -0.001388
-1.000000 125.000000 -0.001506
-1.000000 130.000000 -0.001578
-1.000000 135.000000 -0.001603
-1.000000 140.000000 -0.001578
-1.000000 145.000000 -0.001506
-1.000000 150.000000 -0.001388
-1.000000 155.000000 -0.001228
-1.000000 160.000000 -0.001031
-1.000000 165.000000 -0.000802
-1.000000 170.000000 -0.000549
-1.000000 175.000000 -0.000279
-1.000000 180.000000 0.000000
-1.000000 185.000000 0.000279
-1.000000 190.000000 0.000549
-1.000000 195.000000 0.000802
-1.000000 200.000000 0.001031
-1.000000 205.000000 0.001228
-1.000000 210.000000 0.001388
-1.000000 215.000000 0.001506
-1.000000 220.000000 0.001578
-1.000000 225.000000 0.001603
-1.000000 230.000000 0.001578
-1.000000 235.000000 0.001506
-1.000000 240.000000 0.001388
-1.000000 245.000000 0.001228
-1.000000 250.000000 0.001031
-1.000000 255.000000 0.000802
-1.000000 260.000000 0.000549
-1.000000 265.000000 0.000279
-1.000000 270.000000 -0.000000
-1.000000 275.000000 -0.000279
-1.000000 280.000000 -0.000549
-1.000000 285.000000 -0.000802
-1.000000 290.000000 -0.001031
-1.000000 295.000000 -0.001228
-1.000000 300.000000 -0.001388
-1.000000 305.000000 -0.001506
-1.000000 310.000000 -0.001578
-1.000000 315.000000 -0.001603
-1.000000 320.000000 -0.001578
-1.000000 325.000000 -0.001506
-1.000000 330.000000 -0.001388
-1.000000 335.000000 -0.001228
-1.000000 340.000000 -0.001031
-1.000000 345.000000 -0.000802
-1.000000 350.000000 -0.000549
-1.000000 355.000000 -0.000279
-1.000000 360.000000 0.000000
  1 
-0.995000 0.000000 0.000000
-0.995000 5.000000 0.000321
-0.995000 10.000000 0.000632
-0.995000 15.000000 0.000924
-0.995000 20.000000 0.001188
-0.995000 25.000000 0.001416
-0.995000 30.000000 0.001600
-0.995000 35.000000 0.001736
-0.995000 40.000000 0.001819
-0.995000 45.000000 0.001847
-0.995000 50.000000 0.001819
-0.995000 55.000000 0.001736
-0.995000 60.000000 0.001600
-0.995000 65.000000 0.001416
-0.995000 70.000000 0.001188
-0.995000 75.000000 0.000924
-0.995000 80.000000 0.000632
-0.995000 85.000000 0.000321
-0.995000 90.000000 -0.000000
-0.995000 95.000000 -0.000321
