#RUNGE KUTTA   S1,S2 =  0.7821120000000000,   2.382112000000000
#        HMIN,H,HMAX =  0.1000000000000000E-02,  0.2000000000000000,   1.400000000000000
#             EPS,BS =  0.1000000000000000E-09,  0.2000000000000000E-08
# STEP    S                 DS
     0  0.7821120000E+00  0.20000E+00
     2  0.8487786667E+00  0.66667E-01
     3  0.9047638079E+00  0.55985E-01
     4  0.9656930854E+00  0.60929E-01
     5  0.1040201827E+01  0.74509E-01
     6  0.1127209420E+01  0.87008E-01
     7  0.1231675324E+01  0.10447E+00
     8  0.1362586395E+01  0.13091E+00
     9  0.1504976613E+01  0.14239E+00
    10  0.1642498976E+01  0.13752E+00
    11  0.1788822803E+01  0.14632E+00
    12  0.1944683126E+01  0.15586E+00
    13  0.2124801001E+01  0.18012E+00
    14  0.2345251250E+01  0.22045E+00
    15  0.2382112000E+01  0.36861E-01
#ERROR ESTIMATE  0.9426243646133256E-09
